,Unnamed: 0,Dates,Lastnames,Texts,Links,Counts,Rank,Type,Travel_Places,Travel_Start_Date,Travel_End_Date,Link_Content,Topics,Meet_countries,content
2556,2556,31-Oct-19,Reeker,Acting Assistant Secretary Reeker is on travel to Czech Republic from October 30–November 1.,<https://2017-2021.state.gov/acting-assistant-secretary-reeker-travels-to-the-czech-republic/>,1,4,Travel, ; Czechia,2019-11-30,2019-11-01, ,,,"Acting Assistant Secretary for European and Eurasian Affairs Philip T. Reeker will travel to the Czech Republic, October 30–November 1.;;;;;;;;;;;;While in Prague, Ambassador Reeker will join Deputy Foreign Minister Povejsil and others to discuss the role and importance of the NATO Alliance at an event hosted by the Center for European Policy Analysis (CEPA) and the EUROPEUM Institute for European Policy.  Ambassador Reeker will also deliver remarks at CEPA’s Transatlantic Policy Forum.;;;;;;;;;;;;Ambassador Reeker will visit the headquarters of Radio Free Europe / Radio Liberty to engage with journalists who are reporting news in 22 countries.  He will also meet with senior Czech government leaders.;;;;;;;;;;;;For press inquiries, please contact ;;;;EUR-Press-DL@state.gov<mailto:EUR-Press-DL@state.gov>;;;;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
2557,2557,31-Oct-19,Kozak,"10:30 a.m. Acting Assistant Secretary Kozak joins Under Secretary Hale during the U.S.-Brazil Permanent Forum on Security, at the Department of State.",None,2,4,TBD, ,,, , ; security,,
2558,2558,31-Oct-19,Wells,"3:00 p.m. Acting Assistant Secretary Wells attends the Secretary’s Award for Corporate Excellence 20th Anniversary Ceremony, at the Department of State.",None,1,4,Meeting, ,,, ,, ; Domestic,
2559,2559,30-Oct-19,Pompeo,"8:00 p.m.Secretary Pompeo delivers remarks at the Hudson Institute’s Herman Kahn Award Gala, in New York City, New York.",<https://2017-2021.state.gov/secretary-michael-r-pompeo-to-receive-the-hudson-institutes-2019-herman-kahn-award/#_blank>,1,1,TBD, ,,, ,,,"Secretary of State Michael R. Pompeo will receive the Hudson Institute’s 2019 Herman Kahn Award in New York City, New York on Wednesday, October 30, 2019. Secretary Pompeo will deliver remarks at the Herman Kahn Award Gala at approximately 7:45 p.m.;;;;;;;;;;;;Secretary Pompeo’s remarks are open for press coverage. Media who wish to cover this event in person must request credentials ;;;;<https://www.eventbrite.com/e/press-credential-request-hudson-institute-award-gala-registration-76094040323?utm_term=eventname_text>;;;;here;;;; ;;;; by 5:00 p.m. EDT on Tuesday, October 29, 2019. A request for credentials does not constitute approval. Due to limited space, not all requests may be granted. Additional logistical information will be provided to credentialed media upon approval.;;;;;;;;;;;;For more information, please contact ;;;;caroline@hudson.org<mailto:caroline@hudson.org>;;;; or the Department of State’s Office of Press Relations at ;;;;PAPressDuty@state.gov<mailto:PAPressDuty@state.gov>;;;;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
2560,2560,30-Oct-19,Pompeo,Secretary Pompeo’s remarks will be streamed live on 2017-2021.state.gov.,<http://2017-2021.state.gov>,1,1,TBD, ,,, ,,,
2561,2561,30-Oct-19,Sullivan,10:00 a.m. Deputy Secretary Sullivan testifies before the Senate Foreign Relations Committee for his confirmation hearing as United States Ambassador to Russia.,<https://www.foreign.senate.gov/hearings/nominations-103019>,1,4,TBD, ,,, ,,,
2562,2562,30-Oct-19,Hale,"12:30 p.m. Under Secretary Hale attends a working lunch with French Foreign Ministry Director General for Political and Security Affairs Philippe Errera, in Washington, D.C.",None,1,3,Meeting, ,,, , ; security, ; France,
2563,2563,30-Oct-19,Stilwell,"Assistant Secretary Stilwell is on travel to Tokyo, Rangoon, Kuala Lumpur, Bangkok, Seoul, and Beijing from October 24 – November 7.",<https://2017-2021.state.gov/assistant-secretary-david-r-stilwell-travels-to-japan-burma-malaysia-thailand-seoul-and-china/>,1,4,Travel, ; Korea ; China ; Malaysia ; Japan ; Thailand,2019-11-24,2019-11-07, ,,,"Assistant Secretary David R. Stilwell will visit Tokyo, Rangoon, Kuala Lumpur, Bangkok, Seoul, and Beijing, October 24 to November 7.;;;;;;;;;;;;The Assistant Secretary will be in Tokyo October 25 to 27, where he will participate in the annual U.S.-Japan Business/Policy Dialogue Program, also known as the Mt. Fuji Dialogue, to speak with policy professionals about some of the most pressing topics in the Indo-Pacific. He will engage current and former government officials and policy experts to further mutual understanding and strengthen relations between the United States and Japan.;;;;;;;;;;;;From October 27 to 30, the Assistant Secretary will travel to Burma, where he will meet with representatives from the civilian government in Nay Pyi Taw, as well as individuals representing civil society organizations and ethnic communities during events in Rangoon. He will also travel to Rakhine State to meet government and community leaders, victims of violence, and humanitarian partners. This visit is his first to Burma in his capacity as Assistant Secretary.;;;;;;;;;;;;The Assistant Secretary will also make his first visit to Malaysia in his current capacity, from October 30 to November 1. While in Kuala Lumpur, he will meet with government officials, business representatives, and civil society members to expand our diverse partnership in security, trade, investment, and educational and cultural relations.;;;;;;;;;;;;Assistant Secretary Stilwell will continue to Bangkok on November 1, to begin a four-day visit to participate in the 35th U.S.-ASEAN Summit, the East Asia Summit, and the Indo-Pacific Business Forum. In addition, the Assistant Secretary will hold bilateral meetings with Thai government officials and civil society organizations, as well as bilateral and multilateral meetings with regional partners on the margins of the East Asia Summit.;;;;;;;;;;;;On November 5, the Assistant Secretary will travel to Seoul to meet with government officials to discuss the strength of the U.S.-ROK alliance and cooperation across our Indo-Pacific Strategy and the Republic of Korea’s New Southern Policy.;;;;;;;;;;;;Assistant Secretary Stilwell will stop in Beijing on November 7, where he will meet with U.S. Embassy staff and Chinese government officials.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
2564,2564,30-Oct-19,Royce,"6:00 p.m. Assistant Secretary Royce attends the Institute of International Education’s Centennial Gala, in New York City, New York.",None,1,4,Meeting, ,,, ,, ; Domestic,
2565,2565,30-Oct-19,Sales,"Ambassador Sales is on travel to Dakar, Senegal Oct. 29-30.",<https://2017-2021.state.gov/ambassador-nathan-a-sales-travels-to-senegal/>,1,4,Travel, ; Senegal,2019-11-29,2019-11-30, ,,,"On October 30, Ambassador Nathan A. Sales, the Coordinator for Counterterrorism, will meet with senior Senegalese officials in Dakar to reaffirm the strong U.S. commitment for Senegal’s counterterrorism efforts and to support Senegal’s role as a regional counterterrorism leader.;;;;;;;;;;;;Ambassador Sales will discuss terrorism in the Sahel and U.S. counterterrorism support for the coastal region of West Africa with National Security Advisor Birame Diop.  Ambassador Sales will then meet with Minister of Foreign Affairs Amadou Ba to encourage Senegal to export its counterterrorism expertise and best practices to other West African states facing terrorist threats.  Ambassador Sales will also meet with Interior Minister Aly Ngouille Ndiaye to discuss shared security concerns related to terrorist travel and the importance of such tools as terrorist watchlists and information sharing initiatives.;;;;;;;;;;;;Finally, Ambassador Sales will tour the Blaise Diagne Airport, which offers nonstop flights to the United States.  The airport’s security has been significantly enhanced recently through partnership with the U.S. government, to include new scanning equipment at passenger checkpoints.;;;;;;;;;;;;For press inquiries, please contact ;;;;CTPublicAffairs@state.gov<mailto:CTPublicAffairs@state.gov>;;;;.;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
2566,2566,30-Oct-19,Birx,"Ambassador Birx is on travel to Bangkok, Thailand to deliver remarks for the opening plenary on Global Policy on PrEP, from October 28 -31.",None,1,4,Travel, ; Thailand,2019-10-30,2019-10-30, ,,,
2567,2567,30-Oct-19,Kozak,"2:30 p.m. Acting Assistant Secretary Kozak meets with Guatemalan Ambassador to the United States Manuel Alfredo Espina Pinto, at the Department of State.",None,1,4,Meeting, ,,, ,, ; Guatemala ; United States,
2568,2568,30-Oct-19,Reeker,Assistant Secretary Reeker is on travel to Czech Republic from October 30–November 1.,<https://2017-2021.state.gov/acting-assistant-secretary-reeker-travels-to-the-czech-republic/>,1,4,Travel, ; Czechia,2019-11-30,2019-11-01, ,,,"Acting Assistant Secretary for European and Eurasian Affairs Philip T. Reeker will travel to the Czech Republic, October 30–November 1.;;;;;;;;;;;;While in Prague, Ambassador Reeker will join Deputy Foreign Minister Povejsil and others to discuss the role and importance of the NATO Alliance at an event hosted by the Center for European Policy Analysis (CEPA) and the EUROPEUM Institute for European Policy.  Ambassador Reeker will also deliver remarks at CEPA’s Transatlantic Policy Forum.;;;;;;;;;;;;Ambassador Reeker will visit the headquarters of Radio Free Europe / Radio Liberty to engage with journalists who are reporting news in 22 countries.  He will also meet with senior Czech government leaders.;;;;;;;;;;;;For press inquiries, please contact ;;;;EUR-Press-DL@state.gov<mailto:EUR-Press-DL@state.gov>;;;;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
2569,2569,29-Oct-19,Pompeo,"10:00 a.m.Secretary Pompeo officiates the Swearing-In Ceremony for Carrie Cabelka as Assistant Secretary of State of the Bureau of Administration, at the Department of State.",None,1,1,TBD, ,,, ,,,
2570,2570,29-Oct-19,Pompeo,"12:45 p.m. Secretary Pompeo has lunch with President Donald Trump, at the White House.",None,1,1,TBD, ,,, ,,,
2571,2571,29-Oct-19,Pompeo,"2:00 p.m. Secretary Pompeo chairs the President’s Interagency Task Force to Monitor and Combat Trafficking in Persons (PITF) Annual Meeting, at the White House.",None,1,1,Meeting, ,,, ,, ; Domestic,
2572,2572,29-Oct-19,Sullivan,"Deputy Secretary Sullivan attends meetings and briefings, at the Department of State.",None,1,4,Meeting, ,,, ,, ; Domestic,
2573,2573,29-Oct-19,Green,"2:00 p.m. Administrator Green attends the President’s Interagency Task Force to Monitor and Combat Trafficking in Persons (PITF) Annual Meeting, at the White House.",None,1,4,Meeting, ,,, ,, ; Domestic,
2574,2574,29-Oct-19,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
2575,2575,29-Oct-19,Stilwell,"Assistant Secretary Stilwell is on travel to Tokyo, Rangoon, Kuala Lumpur, Bangkok, Seoul, and Beijing from October 24 – November 7.",<https://2017-2021.state.gov/assistant-secretary-david-r-stilwell-travels-to-japan-burma-malaysia-thailand-seoul-and-china/>,1,4,Travel, ; Korea ; China ; Malaysia ; Japan ; Thailand,2019-11-24,2019-11-07, ,,,"Assistant Secretary David R. Stilwell will visit Tokyo, Rangoon, Kuala Lumpur, Bangkok, Seoul, and Beijing, October 24 to November 7.;;;;;;;;;;;;The Assistant Secretary will be in Tokyo October 25 to 27, where he will participate in the annual U.S.-Japan Business/Policy Dialogue Program, also known as the Mt. Fuji Dialogue, to speak with policy professionals about some of the most pressing topics in the Indo-Pacific. He will engage current and former government officials and policy experts to further mutual understanding and strengthen relations between the United States and Japan.;;;;;;;;;;;;From October 27 to 30, the Assistant Secretary will travel to Burma, where he will meet with representatives from the civilian government in Nay Pyi Taw, as well as individuals representing civil society organizations and ethnic communities during events in Rangoon. He will also travel to Rakhine State to meet government and community leaders, victims of violence, and humanitarian partners. This visit is his first to Burma in his capacity as Assistant Secretary.;;;;;;;;;;;;The Assistant Secretary will also make his first visit to Malaysia in his current capacity, from October 30 to November 1. While in Kuala Lumpur, he will meet with government officials, business representatives, and civil society members to expand our diverse partnership in security, trade, investment, and educational and cultural relations.;;;;;;;;;;;;Assistant Secretary Stilwell will continue to Bangkok on November 1, to begin a four-day visit to participate in the 35th U.S.-ASEAN Summit, the East Asia Summit, and the Indo-Pacific Business Forum. In addition, the Assistant Secretary will hold bilateral meetings with Thai government officials and civil society organizations, as well as bilateral and multilateral meetings with regional partners on the margins of the East Asia Summit.;;;;;;;;;;;;On November 5, the Assistant Secretary will travel to Seoul to meet with government officials to discuss the strength of the U.S.-ROK alliance and cooperation across our Indo-Pacific Strategy and the Republic of Korea’s New Southern Policy.;;;;;;;;;;;;Assistant Secretary Stilwell will stop in Beijing on November 7, where he will meet with U.S. Embassy staff and Chinese government officials.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
2576,2576,29-Oct-19,Royce,"7:00 p.m.Assistant Secretary Royce delivers remarks at the Hubert H. Humphrey Fellowship Program’s 40th Anniversary reception, at the Department of State.",None,1,4,TBD, ,,, ,,,
2577,2577,29-Oct-19,Birx,"Ambassador Birx is on travel to Bangkok, Thailand to deliver remarks for the opening plenary on Global Policy on PrEP, from October 28 -31.",None,1,4,Travel, ; Thailand,2019-10-29,2019-10-29, ,,,
2578,2578,29-Oct-19,Kozak,"11:00 a.m. Acting Assistant Secretary Kozak and Special Representative for Venezuela Elliott Abrams meet with Venezuela’s Presidential Commissioner for Foreign Affairs Julio Borges, at the Department of State.",None,1,4,Meeting, ,,, ,, ; Venezuela,
2579,2579,29-Oct-19,Russel,"Acting Assistant Secretary O’Connell is on travel to Brussels, Belgium from October 28-29.",<https://2017-2021.state.gov/u-s-delegation-travel-to-brussels-belgium/>,2,4,Travel, ; EU ; Belgium,2019-11-28,2019-11-29, ,,,"Acting Assistant Secretary for the Bureau of Population, Refugees, and Migration Carol Thompson O’Connell will lead the U.S. delegation to the October 28-29 International Solidarity Conference on the Venezuelan Refugee and Migrant Crisis in Brussels, Belgium, hosted by the European Union together with the United Nations High Commissioner for Refugees (UNHCR) and the International Organization for Migration (IOM).  Deputy Special Representative for Venezuela and Deputy Assistant Secretary of State for Western Hemisphere Affairs Carrie Filipetti and USAID Deputy Assistant Administrator Amy Tohill-Stull will join.;;;;;;;;;;;;The U.S. delegation will underscore the United States’ commitment to a democratic transition in Venezuela that brings an end to the tyranny of the Maduro regime. The delegation will highlight the nearly $119 million of additional humanitarian aid to the Venezuelan crisis response announced by Secretary Pompeo on the margins of the UN General Assembly last month.  Assistance provided by the United States since Fiscal Year 2017 totals nearly $644 million, including nearly $473 million in humanitarian assistance. In addition to supporting countries in the region who host a combined 4.5 million Venezuelans who have fled their country, U.S. assistance includes nearly $56 million for relief efforts inside Venezuela.  The delegates will reaffirm our gratitude to the countries who generously host Venezuelans in need and call on other nations and organizations to do their part in supporting Venezuelan refugees and other displaced Venezuelans, including by joining the historic coalition of 55 countries that recognize the legitimate constitutional government of Venezuela.;;;;;;;;;;;;For more information about the U.S. delegation, follow ;;;;<https://twitter.com/StatePRM>;;;;@StatePRM;;;; ;;;;, ;;;;<https://twitter.com/USAID>;;;;@USAID;;;; ;;;;, and ;;;;<https://twitter.com/theOFDA>;;;;@theOFDA;;;; ;;;; on Twitter and Facebook.  All media inquiries should be directed to ;;;;PRMPress@state.gov<mailto:PRMPress@state.gov>;;;;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
2580,2580,28-Oct-19,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
2581,2581,28-Oct-19,Sullivan,"Deputy Secretary Sullivan attends meetings and briefings, at the Department of State.",None,1,4,Meeting, ,,, ,, ; Domestic,
2582,2582,28-Oct-19,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
2583,2583,28-Oct-19,Nagy,"9:00 a.m.Assistant Secretary Nagy delivers opening remarks at the Third United States-South Africa Higher Education Network Workshop, at the Embassy of South Africa, in Washington D.C.",None,1,4,TBD, ,,, ,,,
2584,2584,28-Oct-19,Stilwell,"Assistant Secretary David R. Stilwell is on travel to Tokyo, Rangoon, Kuala Lumpur, Bangkok, Seoul, and Beijing from October 24-November 7.",<https://2017-2021.state.gov/assistant-secretary-david-r-stilwell-travels-to-japan-burma-malaysia-thailand-seoul-and-china/>,1,4,Travel, ; Korea ; China ; Malaysia ; Japan ; Thailand,2019-11-24,2019-11-07, ,,,"Assistant Secretary David R. Stilwell will visit Tokyo, Rangoon, Kuala Lumpur, Bangkok, Seoul, and Beijing, October 24 to November 7.;;;;;;;;;;;;The Assistant Secretary will be in Tokyo October 25 to 27, where he will participate in the annual U.S.-Japan Business/Policy Dialogue Program, also known as the Mt. Fuji Dialogue, to speak with policy professionals about some of the most pressing topics in the Indo-Pacific. He will engage current and former government officials and policy experts to further mutual understanding and strengthen relations between the United States and Japan.;;;;;;;;;;;;From October 27 to 30, the Assistant Secretary will travel to Burma, where he will meet with representatives from the civilian government in Nay Pyi Taw, as well as individuals representing civil society organizations and ethnic communities during events in Rangoon. He will also travel to Rakhine State to meet government and community leaders, victims of violence, and humanitarian partners. This visit is his first to Burma in his capacity as Assistant Secretary.;;;;;;;;;;;;The Assistant Secretary will also make his first visit to Malaysia in his current capacity, from October 30 to November 1. While in Kuala Lumpur, he will meet with government officials, business representatives, and civil society members to expand our diverse partnership in security, trade, investment, and educational and cultural relations.;;;;;;;;;;;;Assistant Secretary Stilwell will continue to Bangkok on November 1, to begin a four-day visit to participate in the 35th U.S.-ASEAN Summit, the East Asia Summit, and the Indo-Pacific Business Forum. In addition, the Assistant Secretary will hold bilateral meetings with Thai government officials and civil society organizations, as well as bilateral and multilateral meetings with regional partners on the margins of the East Asia Summit.;;;;;;;;;;;;On November 5, the Assistant Secretary will travel to Seoul to meet with government officials to discuss the strength of the U.S.-ROK alliance and cooperation across our Indo-Pacific Strategy and the Republic of Korea’s New Southern Policy.;;;;;;;;;;;;Assistant Secretary Stilwell will stop in Beijing on November 7, where he will meet with U.S. Embassy staff and Chinese government officials.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
2585,2585,28-Oct-19,Cooper,"8:15 a.m. Assistant Secretary Cooper delivers remarks at the Society for International Affairs Defense Trade Licensing Conference, in Washington D.C.",None,1,4,TBD, ,,, , ; econ,,
2586,2586,28-Oct-19,Birx,"Ambassador Birx is on travel to Bangkok, Thailand to deliver remarks for the opening plenary on Global Policy on PrEP, from October 28 -31.",None,1,4,Travel, ; Thailand,2019-10-28,2019-10-28, ,,,
2587,2587,28-Oct-19,Kozak,"3:30 p.m.Acting Assistant Secretary Kozak meets with Brazilian Chargé d’Affaires a.i. Nestor Forster Jr., at the Department of State.",None,1,4,Meeting, ,,, ,, ; Brazil,
2588,2588,28-Oct-19,Russel,"Acting Assistant Secretary O’Connell is on travel to Brussels, Belgium from October 28-29.",<https://2017-2021.state.gov/u-s-delegation-travel-to-brussels-belgium/>,2,4,Travel, ; EU ; Belgium,2019-11-28,2019-11-29, ,,,"Acting Assistant Secretary for the Bureau of Population, Refugees, and Migration Carol Thompson O’Connell will lead the U.S. delegation to the October 28-29 International Solidarity Conference on the Venezuelan Refugee and Migrant Crisis in Brussels, Belgium, hosted by the European Union together with the United Nations High Commissioner for Refugees (UNHCR) and the International Organization for Migration (IOM).  Deputy Special Representative for Venezuela and Deputy Assistant Secretary of State for Western Hemisphere Affairs Carrie Filipetti and USAID Deputy Assistant Administrator Amy Tohill-Stull will join.;;;;;;;;;;;;The U.S. delegation will underscore the United States’ commitment to a democratic transition in Venezuela that brings an end to the tyranny of the Maduro regime. The delegation will highlight the nearly $119 million of additional humanitarian aid to the Venezuelan crisis response announced by Secretary Pompeo on the margins of the UN General Assembly last month.  Assistance provided by the United States since Fiscal Year 2017 totals nearly $644 million, including nearly $473 million in humanitarian assistance. In addition to supporting countries in the region who host a combined 4.5 million Venezuelans who have fled their country, U.S. assistance includes nearly $56 million for relief efforts inside Venezuela.  The delegates will reaffirm our gratitude to the countries who generously host Venezuelans in need and call on other nations and organizations to do their part in supporting Venezuelan refugees and other displaced Venezuelans, including by joining the historic coalition of 55 countries that recognize the legitimate constitutional government of Venezuela.;;;;;;;;;;;;For more information about the U.S. delegation, follow ;;;;<https://twitter.com/StatePRM>;;;;@StatePRM;;;; ;;;;, ;;;;<https://twitter.com/USAID>;;;;@USAID;;;; ;;;;, and ;;;;<https://twitter.com/theOFDA>;;;;@theOFDA;;;; ;;;; on Twitter and Facebook.  All media inquiries should be directed to ;;;;PRMPress@state.gov<mailto:PRMPress@state.gov>;;;;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
2589,2589,25-Oct-19,Pompeo,"9:45 a.m. LOCAL Secretary Pompeo meets with students from Wichita State University, in Wichita, Kansas.",None,1,1,Meeting, ,,, ,, ; Domestic,
2590,2590,25-Oct-19,Pompeo,"11:30 a.m. LOCAL Secretary Pompeo meets with Wichita State University coaches and players, in Wichita, Kansas.",None,1,1,Meeting, ,,, ,, ; Domestic,
2591,2591,25-Oct-19,Sullivan,"Deputy Secretary Sullivan attends meetings and briefings, at the Department of State.",None,1,4,Meeting, ,,, ,, ; Domestic,
2592,2592,25-Oct-19,Green,"2:00 p.m. Administrator Green meets with General Electric Africa President and CEO Farid Fezoua, at the U.S. Agency for International Development.",None,1,4,Meeting, ,,, ,, ; Domestic,
2593,2593,25-Oct-19,Hale,"2:00 p.m. Under Secretary Hale meets with U.S. Security Coordinator to Israel and the Palestinian Authority Major General Mark Schwartz, at the Department of State.",None,1,3,Meeting, ,,, , ; security ; sec_org," ; Palestine, State of ; Israel",
2594,2594,25-Oct-19,Krach,Under Secretary Krach is on travel to Norway from October 21-24 to lead the U.S. Delegation to Our Ocean Conference.,<https://2017-2021.state.gov/u-s-delegation-to-our-ocean-2019/>,1,3,Travel, ; Norway,2019-11-21,2019-11-24, ,,,"The Government of the Norway will host ;;;;Our Ocean 2019: Our Ocean, Our Legacy;;;; in Oslo, October 23-24, 2019. Under Secretary of State for Economic Growth, Energy, and the Environment Keith Krach will lead the U.S. government delegation which will include senior officials from the U.S. Agency for International Development (USAID), the National Oceanic and Atmospheric Administration (NOAA), the National Maritime Intelligence-Integration Office (NMIO), and the Office of United States Trade Representative (USTR).;;;;;;;;;;;;The Our Ocean conference began as a Department of State initiative in 2014 to draw international attention to the importance of the ocean for our economies, our food security, and our future — as well as the need for collaboration and concrete action to support ocean productivity, prosperity, and security. The conference draws participants from all over the globe. Representatives from the business community, the science and technology community, governments, non-governmental organizations, and funders will announce major commitments to support a healthy and productive ocean and a sustainable blue economy. The conference in Norway will be the sixth in a series of high-level Our Ocean conferences, reaffirming the United States’ continued leadership with our partners on ocean issues.;;;;;;;;;;;;Top priorities for the United States at this year’s conference include:;;;;;;;;;;;;;;;;;;;;fostering collaboration among government, business, and other partners to create innovative solutions for the challenges facing the ocean;;;;;;;;;;;;;tackling marine debris and illegal, unreported, and unregulated (IUU) fishing; and;;;;;;;;;;;;promoting a sustainable blue economy and maritime security.;;;;;;;;;;;;;;;;;;;;More details about this year’s conference may be found at ;;;;<https://ourocean2019.no/>;;;;ourocean2019.org;;;; ;;;;.;;;;;;;;;;;;For press inquiries, please contact ;;;;OES-PA-DG@state.gov<mailto:OES-PA-DG@state.gov>;;;;.;;;;;;;;;;;;On social media, follow Under Secretary Krach on Twitter @State_E, on Facebook @StateDeptE, on Instagram @StateDeptE, and on LinkedIn @U.S. Department of State – E Under Secretariat; follow the Bureau of Oceans and International Environmental Scientific Affairs on Twitter @SciDiplomacyUSA, on Facebook @ScienceDiplomacyUSA, and on Instagram @sciencediplomacy_usa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
2595,2595,25-Oct-19,Stilwell,"Assistant Secretary Stilwell is on travel to Japan, Burma, Malaysia, Thailand, Republic of Korea, and China from October 24-November 7.",<https://2017-2021.state.gov/assistant-secretary-david-r-stilwell-travels-to-japan-burma-malaysia-thailand-seoul-and-china/>,1,4,Travel, ; Korea ; China ; Malaysia ; Japan ; Thailand ; Myanmar,2019-11-24,2019-11-07, , ; China,,"Assistant Secretary David R. Stilwell will visit Tokyo, Rangoon, Kuala Lumpur, Bangkok, Seoul, and Beijing, October 24 to November 7.;;;;;;;;;;;;The Assistant Secretary will be in Tokyo October 25 to 27, where he will participate in the annual U.S.-Japan Business/Policy Dialogue Program, also known as the Mt. Fuji Dialogue, to speak with policy professionals about some of the most pressing topics in the Indo-Pacific. He will engage current and former government officials and policy experts to further mutual understanding and strengthen relations between the United States and Japan.;;;;;;;;;;;;From October 27 to 30, the Assistant Secretary will travel to Burma, where he will meet with representatives from the civilian government in Nay Pyi Taw, as well as individuals representing civil society organizations and ethnic communities during events in Rangoon. He will also travel to Rakhine State to meet government and community leaders, victims of violence, and humanitarian partners. This visit is his first to Burma in his capacity as Assistant Secretary.;;;;;;;;;;;;The Assistant Secretary will also make his first visit to Malaysia in his current capacity, from October 30 to November 1. While in Kuala Lumpur, he will meet with government officials, business representatives, and civil society members to expand our diverse partnership in security, trade, investment, and educational and cultural relations.;;;;;;;;;;;;Assistant Secretary Stilwell will continue to Bangkok on November 1, to begin a four-day visit to participate in the 35th U.S.-ASEAN Summit, the East Asia Summit, and the Indo-Pacific Business Forum. In addition, the Assistant Secretary will hold bilateral meetings with Thai government officials and civil society organizations, as well as bilateral and multilateral meetings with regional partners on the margins of the East Asia Summit.;;;;;;;;;;;;On November 5, the Assistant Secretary will travel to Seoul to meet with government officials to discuss the strength of the U.S.-ROK alliance and cooperation across our Indo-Pacific Strategy and the Republic of Korea’s New Southern Policy.;;;;;;;;;;;;Assistant Secretary Stilwell will stop in Beijing on November 7, where he will meet with U.S. Embassy staff and Chinese government officials.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
