,Unnamed: 0,Dates,Lastnames,Texts,Links,Counts,Rank,Type,Travel_Places,Travel_Start_Date,Travel_End_Date,html
733,733,28-Jun-22,Sherman,Deputy Secretary Sherman has no public appointments.,None,1,2,TBD, ,,,
734,734,28-Jun-22,McKeon,Deputy Secretary McKeon attends meetings and briefings at the Department of State.,None,1,2,TBD, ,,,
735,735,28-Jun-22,Nuland,Under Secretary Nuland attends meetings and briefings at the Department of State.,None,1,3,TBD, ,,,
736,736,28-Jun-22,Zeya,11:00 a.m. Under Secretary Zeya meets with the European Economic and Social Committee at the Department of State.,None,1,3,TBD, ,,,
737,737,28-Jun-22,Allen,"Senior Official Allen is on travel to California and Hawaii from June 27-30, 2022.",<https://www.state.gov/senior-official-for-public-diplomacy-and-public-affairs-allens-travel-to-los-angeles-california-and-honolulu-hawaii/>,1,3,Travel, ; Domestic,2022-06-27,2022-06-30,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p><span>Senior Official for Public Diplomacy and Public Affairs Liz Allen will travel to Los Angeles, California and Honolulu, Hawaii June 27 – 30.&nbsp; In Los Angeles, she will visit the University of Southern California Center on Public Diplomacy, the Annenberg School for Communication and Journalism, the School of Cinematic Arts, which partners with the Department of State on the Middle East Media Initiative and the American Film Showcase, and members of the public diplomacy community.&nbsp; In Honolulu, Senior Official Allen will deliver a keynote address on international media freedom, emerging technology, and countering disinformation issues, as well as the importance of people-to-people engagement in fostering trust and relationships across the world at the East-West Center 2022 International Media Conference.&nbsp; While in Hawaii, Senior Official Allen will also meet with Department of Defense INDOPACOM counterparts and alumni from the State Department’s Young Pacific Leaders exchange program, which strengthens linkages between emerging leaders in government, business, and civil society across the Pacific and the United States.&nbsp;</span></p>;;;;<p><span>For further information, please follow Senior Official Allen on Twitter @UnderSecPD.</span></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
738,738,28-Jun-22,Bitter,"Assistant Secretary Bitter is on travel to Arizona, Mexico and Texas from June 27-29, 2022.",<https://www.state.gov/assistant-secretary-of-state-for-consular-affairs-bitter-travels-to-tucson-nogales-sonora-mexico-and-houston/>,1,4,Travel, ; Mexico,2022-06-27,2022-06-29,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p><span>Assistant Secretary of State for Consular Affairs Rena Bitter will travel June 27-29 to Tucson, Nogales, and Houston. In Tucson and Houston, she will observe U.S. passport facility operations and meet with staff. In Nogales (Sonora, Mexico), she will observe consular operations and meet with staff. In Houston, she will attend a naturalization ceremony, congratulating new U.S. citizens. For press inquiries, please contact&nbsp;</span><a href=""mailto:CAPRESSREQUESTS@state.gov"" target=""_blank"" rel=""noopener"">CAPRESSREQUESTS@state.gov</a><span>. You can also find updates on Assistant Secretary Bitter’s travel by following @TravelGov on Twitter.</span></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
739,739,28-Jun-22,Medina,"Assistant Secretary Medina is on travel to Portugal from June 25-July 1, 2022.",<https://www.state.gov/special-presidential-envoy-for-climate-kerry-and-assistant-secretary-medinas-travel-to-portugal/>,2,4,Travel, ; Portugal,2022-06-25,2022-07-01,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Special Presidential Envoy for Climate John Kerry will travel to Portugal June 27-June 29 to lead the U.S. delegation to the&nbsp;<a title=""Original URL: https://lnks.gd/l/eyJhbGciOiJIUzI1NiJ9.eyJidWxsZXRpbl9saW5rX2lkIjoxMDAsInVyaSI6ImJwMjpjbGljayIsImJ1bGxldGluX2lkIjoiMjAyMjA2MjQuNTk4NDc0NjEiLCJ1cmwiOiJodHRwczovL3d3dy51bi5vcmcvZW4vY29uZmVyZW5jZXMvb2NlYW4yMDIyIn0.1LDUc2neUQ0YFoMmZ2SVox6v4s_MPxGViwLpqOkTy48/s/1436012980/br/133553151795-l. Click or tap if you trust this link."" href=""https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Flnks.gd%2Fl%2FeyJhbGciOiJIUzI1NiJ9.eyJidWxsZXRpbl9saW5rX2lkIjoxMDAsInVyaSI6ImJwMjpjbGljayIsImJ1bGxldGluX2lkIjoiMjAyMjA2MjQuNTk4NDc0NjEiLCJ1cmwiOiJodHRwczovL3d3dy51bi5vcmcvZW4vY29uZmVyZW5jZXMvb2NlYW4yMDIyIn0.1LDUc2neUQ0YFoMmZ2SVox6v4s_MPxGViwLpqOkTy48%2Fs%2F1436012980%2Fbr%2F133553151795-l&amp;data=05%7C01%7CSimmonsJX%40state.gov%7Cac4b6cc1c20b493abfa608da55e1cbd8%7C66cf50745afe48d1a691a12b2121f44b%7C0%7C0%7C637916725520489343%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=4hthoncKBI0IYv2p2qje8UvApHviL2KEn08bLzJkTy8%3D&amp;reserved=0"" target=""_blank"" rel=""noopener noreferrer"" data-auth=""Verified"" data-linkindex=""0"">United Nations Ocean Conference</a>, convened by the United Nations General Assembly and co-hosted by the Governments of Kenya and Portugal.&nbsp; He will be joined by Assistant Secretary of State for Oceans and International Environmental and Scientific Affairs Monica Medina, who will travel to Portugal June 25-July 2.&nbsp; The interagency delegation will also include Deputy Director for Climate and Environment at the White House Office of Science and Technology Policy Dr. Jane Lubchenco, White House Council on Environmental Quality Chair Brenda Mallory, and National Oceanic and Atmospheric Administration Administrator Dr. Richard Spinrad, as well as other high-level officials from across the U.S. Government.</p>;;;;<p>The United Nations Ocean Conference, taking place June 27-July 1, will focus on advancing solutions for a sustainably managed ocean, including addressing the climate-ocean nexus; ocean acidification; plastic pollution; illegal, unreported, and unregulated (IUU) fishing; and the loss of marine habitats and biodiversity.</p>;;;;<p>At the conference, Secretary Kerry, Assistant Secretary Medina, Deputy Director Lubchenco, Chair Mallory, and Administrator Spinrad will engage with government counterparts, private sector actors, and civil society partners to advance ocean efforts related to sustainable development, climate change, environmental protection, and nature conservation.</p>;;;;<p>For press inquiries, contact&nbsp;<a href=""mailto:ClimateComms@state.gov"" target=""_blank"" rel=""noopener noreferrer"" data-auth=""NotApplicable"" data-linkindex=""1"">ClimateComms@state.gov</a>.</p>;;;;<p><input type=""hidden"" data-filter=""111000000100""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
740,740,27-Jun-22,Blinken,"Secretary Blinken is on travel to Germany and Spain from June 23-30, 2022.",<https://www.state.gov/secretary-blinkens-travel-for-the-germany-hosted-food-security-ministerial-and-the-g7-and-nato-summits/>,1,1,Travel, ; Germany ; Spain,2022-06-23,2022-06-30,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Secretary of State Antony J. Blinken will travel to Germany on June 23 to join foreign ministers for the Berlin Ministerial Conference “Uniting for Global Food Security” on June 24.&nbsp; He will meet with the participants to advance global initiatives to address food insecurity, stemming from both Russia’s brutal, unprovoked war against Ukraine and the continued challenges posed by climate change, the COVID-19 pandemic, other conflicts, and supply chain challenges.</p>;;;;<p>On June 25, Secretary Blinken will travel to Schloss&nbsp;Elmau&nbsp;to join President Biden for the G7 Leaders’ Summit. &nbsp;G7 leaders will discuss a range of pressing global issues, including our unwavering support for a democratic, sovereign, and prosperous Ukraine, economic and democratic resilience, tackling the climate crisis, development infrastructure, global health security, and the food and energy crisis caused by Russia’s war against Ukraine.</p>;;;;<p>The Secretary will then travel to Madrid, Spain, for the June 29-30 NATO Summit. &nbsp;At the NATO Summit, Allied leaders will endorse a new Strategic Concept to guide NATO’s transformation over the next decade, from strengthening deterrence and defense to building resilience against transnational and hybrid threats, including cyber and climate, to deepening partnerships with like-minded partners in Europe and Asia in order to strengthen the rules-based international order.</p>;;;;<p><input type=""hidden"" data-filter=""111000000100""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
741,741,27-Jun-22,Sherman,Deputy Secretary Sherman has no public appointments.,None,1,2,TBD, ,,,
742,742,27-Jun-22,McKeon,4:30 p.m.Deputy Secretary McKeon meets with Swiss Ambassador to the United States JacquesPittloudand Ukrainian Ambassador to the United StatesOksanaMarkarovaat the Department of State.,None,1,2,TBD, ,,,
743,743,27-Jun-22,Nuland,Under Secretary Nuland attends meetings and briefings at the Department of State.,None,1,3,TBD, ,,,
744,744,27-Jun-22,Zeya,Under Secretary Zeya attends meetings and briefings at the Department of State.,None,1,3,TBD, ,,,
745,745,27-Jun-22,Allen,"Senior Official Allen travels to California and Hawaii from June 27-30, 2022.",None,1,3,Travel, ; Domestic,2022-06-27,2022-06-30,
746,746,27-Jun-22,Medina,"Assistant Secretary Medina is on travel to Portugal from June 25-July 1, 2022.",<https://www.state.gov/special-presidential-envoy-for-climate-kerry-and-assistant-secretary-medinas-travel-to-portugal/>,2,4,Travel, ; Portugal,2022-06-25,2022-07-01,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Special Presidential Envoy for Climate John Kerry will travel to Portugal June 27-June 29 to lead the U.S. delegation to the&nbsp;<a title=""Original URL: https://lnks.gd/l/eyJhbGciOiJIUzI1NiJ9.eyJidWxsZXRpbl9saW5rX2lkIjoxMDAsInVyaSI6ImJwMjpjbGljayIsImJ1bGxldGluX2lkIjoiMjAyMjA2MjQuNTk4NDc0NjEiLCJ1cmwiOiJodHRwczovL3d3dy51bi5vcmcvZW4vY29uZmVyZW5jZXMvb2NlYW4yMDIyIn0.1LDUc2neUQ0YFoMmZ2SVox6v4s_MPxGViwLpqOkTy48/s/1436012980/br/133553151795-l. Click or tap if you trust this link."" href=""https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Flnks.gd%2Fl%2FeyJhbGciOiJIUzI1NiJ9.eyJidWxsZXRpbl9saW5rX2lkIjoxMDAsInVyaSI6ImJwMjpjbGljayIsImJ1bGxldGluX2lkIjoiMjAyMjA2MjQuNTk4NDc0NjEiLCJ1cmwiOiJodHRwczovL3d3dy51bi5vcmcvZW4vY29uZmVyZW5jZXMvb2NlYW4yMDIyIn0.1LDUc2neUQ0YFoMmZ2SVox6v4s_MPxGViwLpqOkTy48%2Fs%2F1436012980%2Fbr%2F133553151795-l&amp;data=05%7C01%7CSimmonsJX%40state.gov%7Cac4b6cc1c20b493abfa608da55e1cbd8%7C66cf50745afe48d1a691a12b2121f44b%7C0%7C0%7C637916725520489343%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&amp;sdata=4hthoncKBI0IYv2p2qje8UvApHviL2KEn08bLzJkTy8%3D&amp;reserved=0"" target=""_blank"" rel=""noopener noreferrer"" data-auth=""Verified"" data-linkindex=""0"">United Nations Ocean Conference</a>, convened by the United Nations General Assembly and co-hosted by the Governments of Kenya and Portugal.&nbsp; He will be joined by Assistant Secretary of State for Oceans and International Environmental and Scientific Affairs Monica Medina, who will travel to Portugal June 25-July 2.&nbsp; The interagency delegation will also include Deputy Director for Climate and Environment at the White House Office of Science and Technology Policy Dr. Jane Lubchenco, White House Council on Environmental Quality Chair Brenda Mallory, and National Oceanic and Atmospheric Administration Administrator Dr. Richard Spinrad, as well as other high-level officials from across the U.S. Government.</p>;;;;<p>The United Nations Ocean Conference, taking place June 27-July 1, will focus on advancing solutions for a sustainably managed ocean, including addressing the climate-ocean nexus; ocean acidification; plastic pollution; illegal, unreported, and unregulated (IUU) fishing; and the loss of marine habitats and biodiversity.</p>;;;;<p>At the conference, Secretary Kerry, Assistant Secretary Medina, Deputy Director Lubchenco, Chair Mallory, and Administrator Spinrad will engage with government counterparts, private sector actors, and civil society partners to advance ocean efforts related to sustainable development, climate change, environmental protection, and nature conservation.</p>;;;;<p>For press inquiries, contact&nbsp;<a href=""mailto:ClimateComms@state.gov"" target=""_blank"" rel=""noopener noreferrer"" data-auth=""NotApplicable"" data-linkindex=""1"">ClimateComms@state.gov</a>.</p>;;;;<p><input type=""hidden"" data-filter=""111000000100""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
747,747,26-Jun-22,Blinken,"Secretary Blinken is on travel to Germany and Spain from June 23-30, 2022.",<https://www.state.gov/secretary-blinkens-travel-for-the-germany-hosted-food-security-ministerial-and-the-g7-and-nato-summits/>,1,1,Travel, ; Germany ; Spain,2022-06-23,2022-06-30,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Secretary of State Antony J. Blinken will travel to Germany on June 23 to join foreign ministers for the Berlin Ministerial Conference “Uniting for Global Food Security” on June 24.&nbsp; He will meet with the participants to advance global initiatives to address food insecurity, stemming from both Russia’s brutal, unprovoked war against Ukraine and the continued challenges posed by climate change, the COVID-19 pandemic, other conflicts, and supply chain challenges.</p>;;;;<p>On June 25, Secretary Blinken will travel to Schloss&nbsp;Elmau&nbsp;to join President Biden for the G7 Leaders’ Summit. &nbsp;G7 leaders will discuss a range of pressing global issues, including our unwavering support for a democratic, sovereign, and prosperous Ukraine, economic and democratic resilience, tackling the climate crisis, development infrastructure, global health security, and the food and energy crisis caused by Russia’s war against Ukraine.</p>;;;;<p>The Secretary will then travel to Madrid, Spain, for the June 29-30 NATO Summit. &nbsp;At the NATO Summit, Allied leaders will endorse a new Strategic Concept to guide NATO’s transformation over the next decade, from strengthening deterrence and defense to building resilience against transnational and hybrid threats, including cyber and climate, to deepening partnerships with like-minded partners in Europe and Asia in order to strengthen the rules-based international order.</p>;;;;<p><input type=""hidden"" data-filter=""111000000100""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
748,748,25-Jun-22,Blinken,"Secretary Blinken is on travel to Germany and Spain from June 23-30, 2022.",<https://www.state.gov/secretary-blinkens-travel-for-the-germany-hosted-food-security-ministerial-and-the-g7-and-nato-summits/>,1,1,Travel, ; Germany ; Spain,2022-06-23,2022-06-30,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Secretary of State Antony J. Blinken will travel to Germany on June 23 to join foreign ministers for the Berlin Ministerial Conference “Uniting for Global Food Security” on June 24.&nbsp; He will meet with the participants to advance global initiatives to address food insecurity, stemming from both Russia’s brutal, unprovoked war against Ukraine and the continued challenges posed by climate change, the COVID-19 pandemic, other conflicts, and supply chain challenges.</p>;;;;<p>On June 25, Secretary Blinken will travel to Schloss&nbsp;Elmau&nbsp;to join President Biden for the G7 Leaders’ Summit. &nbsp;G7 leaders will discuss a range of pressing global issues, including our unwavering support for a democratic, sovereign, and prosperous Ukraine, economic and democratic resilience, tackling the climate crisis, development infrastructure, global health security, and the food and energy crisis caused by Russia’s war against Ukraine.</p>;;;;<p>The Secretary will then travel to Madrid, Spain, for the June 29-30 NATO Summit. &nbsp;At the NATO Summit, Allied leaders will endorse a new Strategic Concept to guide NATO’s transformation over the next decade, from strengthening deterrence and defense to building resilience against transnational and hybrid threats, including cyber and climate, to deepening partnerships with like-minded partners in Europe and Asia in order to strengthen the rules-based international order.</p>;;;;<p><input type=""hidden"" data-filter=""111000000100""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
749,749,25-Jun-22,Blinken,"11:00 a.m. LOCAL Secretary Blinken meets with U.S. Embassy Berlin staff in Berlin, Germany.",None,1,1,TBD, ,,,
750,750,24-Jun-22,Blinken,"Secretary Blinken is on travel to Germany and Spain from June 23-30, 2022.",<https://www.state.gov/secretary-blinkens-travel-for-the-germany-hosted-food-security-ministerial-and-the-g7-and-nato-summits/>,1,1,Travel, ; Germany ; Spain,2022-06-23,2022-06-30,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Secretary of State Antony J. Blinken will travel to Germany on June 23 to join foreign ministers for the Berlin Ministerial Conference “Uniting for Global Food Security” on June 24.&nbsp; He will meet with the participants to advance global initiatives to address food insecurity, stemming from both Russia’s brutal, unprovoked war against Ukraine and the continued challenges posed by climate change, the COVID-19 pandemic, other conflicts, and supply chain challenges.</p>;;;;<p>On June 25, Secretary Blinken will travel to Schloss&nbsp;Elmau&nbsp;to join President Biden for the G7 Leaders’ Summit. &nbsp;G7 leaders will discuss a range of pressing global issues, including our unwavering support for a democratic, sovereign, and prosperous Ukraine, economic and democratic resilience, tackling the climate crisis, development infrastructure, global health security, and the food and energy crisis caused by Russia’s war against Ukraine.</p>;;;;<p>The Secretary will then travel to Madrid, Spain, for the June 29-30 NATO Summit. &nbsp;At the NATO Summit, Allied leaders will endorse a new Strategic Concept to guide NATO’s transformation over the next decade, from strengthening deterrence and defense to building resilience against transnational and hybrid threats, including cyber and climate, to deepening partnerships with like-minded partners in Europe and Asia in order to strengthen the rules-based international order.</p>;;;;<p><input type=""hidden"" data-filter=""111000000100""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
751,751,24-Jun-22,Blinken,"10:30 a.m. LOCAL Secretary Blinken meets with German Vice Chancellor Robert Habeck in Berlin, Germany.",None,1,1,TBD, ,,,
752,752,24-Jun-22,Blinken,"11:30 a.m. LOCAL Secretary Blinken participates in a G7 Ministerial meeting in Berlin, Germany.",None,1,1,TBD, ,,,
753,753,24-Jun-22,Blinken,"1:00 p.m. LOCAL Secretary Blinken meets with German Foreign Minister Annalena Baerbock in Berlin, Germany.",None,1,1,TBD, ,,,
754,754,24-Jun-22,Blinken,"2:30 p.m. LOCAL Secretary Blinken participates in a Food Ministerial Plenary Session in Berlin, Germany.",None,1,1,TBD, ,,,
755,755,24-Jun-22,Blinken,"2:45 p.m. LOCAL Secretary Blinken participates a Foreign Ministers Panel Discussion in Berlin, Germany.",None,1,1,TBD, ,,,
756,756,24-Jun-22,Blinken,"3:45 p.m. LOCAL Secretary Blinken meets with French Foreign Minister Catherine Colonna in Berlin, Germany.",None,1,1,TBD, ,,,
757,757,24-Jun-22,Blinken,"5:00 p.m. LOCAL Secretary Blinken holds a press availability in Berlin, Germany.",None,1,1,TBD, ,,,
